"No.","Time","Source","Destination","Protocol","Length","Info"
"147","146.290762","192.168.100.161","192.168.100.76","TCP","79","61789  >  5050 [PSH, ACK] Seq=704 Ack=402 Win=5343 Len=25"
"148","146.345294","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=402 Ack=729 Win=63892 Len=0"
"149","146.516331","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=729 Ack=402 Win=5343 Len=2"
"150","146.516508","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=402 Ack=731 Win=63890 Len=15"
"151","146.634730","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=731 Ack=417 Win=5328 Len=0"
"152","147.560193","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=731 Ack=417 Win=5328 Len=26"
"153","147.615101","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=417 Ack=757 Win=63864 Len=0"
"154","147.630884","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=757 Ack=417 Win=5328 Len=2"
"155","147.631115","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=417 Ack=759 Win=63862 Len=15"
"156","147.882846","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=759 Ack=432 Win=5313 Len=0"
"157","151.134973","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=759 Ack=432 Win=5313 Len=26"
"158","151.185982","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=432 Ack=785 Win=63836 Len=0"
"159","151.323596","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=785 Ack=432 Win=5313 Len=2"
"160","151.325191","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=432 Ack=787 Win=63834 Len=15"
"161","151.385453","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=787 Ack=447 Win=5298 Len=0"
"162","152.431825","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=787 Ack=447 Win=5298 Len=26"
"163","152.473845","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=447 Ack=813 Win=63808 Len=0"
"164","152.767807","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=813 Ack=447 Win=5298 Len=2"
"165","152.768010","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=447 Ack=815 Win=63806 Len=15"
"166","152.886062","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=815 Ack=462 Win=5283 Len=0"
"167","153.785849","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=815 Ack=462 Win=5283 Len=26"
"168","153.836127","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=462 Ack=841 Win=63780 Len=0"
"169","153.885519","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=841 Ack=462 Win=5283 Len=2"
"170","153.885787","192.168.100.76","192.168.100.161","TCP","68","5050  >  61789 [PSH, ACK] Seq=462 Ack=843 Win=63778 Len=14"
"171","154.140485","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=843 Ack=476 Win=5269 Len=0"
"172","154.986318","192.168.100.161","192.168.100.76","TCP","79","61789  >  5050 [PSH, ACK] Seq=843 Ack=476 Win=5269 Len=25"
"173","155.026558","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=476 Ack=868 Win=63753 Len=0"
"174","155.399747","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=868 Ack=476 Win=5269 Len=2"
"175","155.401599","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=476 Ack=870 Win=63751 Len=15"
"176","155.640396","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=870 Ack=491 Win=5254 Len=0"
"177","156.571152","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=870 Ack=491 Win=5254 Len=26"
"178","156.620196","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=491 Ack=896 Win=63725 Len=0"
"179","156.667642","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=896 Ack=491 Win=5254 Len=2"
"180","156.667978","192.168.100.76","192.168.100.161","TCP","68","5050  >  61789 [PSH, ACK] Seq=491 Ack=898 Win=63723 Len=14"
"181","156.889701","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=898 Ack=505 Win=5240 Len=0"
"182","157.676292","192.168.100.161","192.168.100.76","TCP","79","61789  >  5050 [PSH, ACK] Seq=898 Ack=505 Win=5240 Len=25"
"183","157.720181","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=505 Ack=923 Win=63698 Len=0"
"184","157.801886","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=923 Ack=505 Win=5240 Len=2"
"185","157.802037","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=505 Ack=925 Win=63696 Len=15"
